Stimulus,descriptors,anise,rose,coffee,creamy,herbaceous,caramel,banana,fruity,nutty,apple,cherry,spicy,almond,cheese,waxy,pineapple,citrus,berry,vanilla,wine-like,oily,floral,apricot,sweet,butter,woody,earthy,vegetable,green,chocolate,grape,musty,"alliaceous (onion, garlic)",melon,fatty,minty,balsam,honey,meaty,coconut,ethereal,CID,MolecularWeight,IsomericSMILES,IUPACName,name
6341,"['blossom', 'grape', 'sweet']",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,6341.0,45.08,CCN,ethanamine,ethanamine
6364,"['meaty', 'sulfurous', 'alliaceous (onion, garlic)']",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,6364.0,76.16,CC(C)S,propane-2-thiol,2-propanethiol
6493,"['green', 'fruity']",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,6493.0,102.17,CCC(C)(CC)O,3-methylpentan-3-ol,3-methyl-3-pentanol
6501,"['strawberry', 'sweet']",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6501.0,206.24,CCOC(=O)C1C(O1)(C)C2=CC=CC=C2,ethyl 3-methyl-3-phenyloxirane-2-carboxylate,77-83-8
6544,"['berry', 'woody', 'herbaceous', 'nutty']",False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6544.0,138.21,CC1=CC(=O)CC(C1)(C)C,"3,5,5-trimethylcyclohex-2-en-1-one",isophorone
6558,"['sweet', 'vegetable']",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,6558.0,73.14,CC(C)CN,2-methylpropan-1-amine,isobutylamine
6560,"['fruity', 'wine-like']",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6560.0,74.12,CC(C)CO,2-methylpropan-1-ol,2-methyl-1-propanol
6561,['banana'],False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6561.0,72.11,CC(C)C=O,2-methylpropanal,isobutyraldehyde
6584,"['ethereal', 'sweet']",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,6584.0,74.08,CC(=O)OC,methyl acetate,methyl acetate
6590,"['butter', 'strawberry']",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6590.0,88.11,CC(C)C(=O)O,2-methylpropanoic acid,isobutyric acid
