Stimulus,Log (1/ODT),E,S,A,B,L,V,M,AL,AC,ES,C1,C1AC,C1AL,HS,C2,C2Al,C2AC,GrpNo,Train,Duplicates,CID,MolecularWeight,IsomericSMILES,IUPACName,name
8034,2.29939,0.114,0.66,0.0,0.53,3.8065,1.1106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,0.5,1,8034,114.19,CC(C)CCC(=O)C,5-methylhexan-2-one,5-methyl-2-hexanone
8038,1.276455,0.052,0.57,0.0,0.47,3.161,1.0284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,0.5,1,8038,116.16,CC(C)COC(=O)C,2-methylpropyl acetate,isobutyl acetate
8051,1.40583,0.123,0.68,0.0,0.51,3.76,1.1106,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,2.333333333333333,0.6666666666666666,2,8051,114.19,CCCCCC(=O)C,heptan-2-one,2-heptanone
8054,0.469,0.166,0.79,0.0,0.81,3.29,0.9462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0,8054,118.13,CC(=O)OCCOC,2-methoxyethyl acetate,2-methoxyethyl acetate
8058,-0.17609,0.0,0.0,0.0,0.0,2.668,0.954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,8058,86.18,CCCCCC,hexane,hexane
8063,1.34411,0.163,0.65,0.0,0.45,2.851,0.8288,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.5,1.0,1,8063,86.13,CCCCC=O,pentanal,valeraldehyde
8067,6.10791,0.369,0.43,0.0,0.21,3.624,0.9766,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,8067,104.22,CCCCCS,pentane-1-thiol,1-pentanethiol
8073,0.01773,0.132,0.63,0.0,0.38,2.433,0.7466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,8073,88.11,CCCOC=O,propyl formate,propyl formate
8076,0.23657,0.237,0.55,0.29,0.82,2.719,0.7896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,8076,90.12,CCOCCO,2-ethoxyethanol,2-ethoxyethanol
8077,2.69897,0.671,0.54,0.0,0.27,4.036,0.9992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,8077,122.3,CCSSCC,(ethyldisulfanyl)ethane,diethyl disulfide
8078,-0.39794,0.305,0.1,0.0,0.0,2.964,0.8454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,8078,84.16,C1CCCCC1,cyclohexane,cyclohexane
8083,2.0,0.434,0.79,0.06,0.91,3.289,0.7221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0,8083,87.12,C1COCCN1,morpholine,morpholine
8095,1.3098,0.099,0.79,0.0,0.79,3.747,1.0871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,8095,132.16,CCOCCOC(=O)C,2-ethoxyethyl acetate,2-ethoxyethyl acetate
