Stimulus,alkane,citrus,earth,fat,flower,fruit,green,herb,mint,must,spice,sulfur,sweet,wood,CID,MolecularWeight,IsomericSMILES,IUPACName,name
23686,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23686,144.17,CC1=NC2=CC=CC=C2N=C1,2-methylquinoxaline,2-methylquinoxaline
24197,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24197,190.19,CCOC(=O)CC(C(=O)OCC)O,diethyl 2-hydroxybutanedioate,diethyl malate
25311,0,0,0,0,1,0,0,0,0,1,0,0,1,0,25311,198.34,CCCCCCCCCCCCC=O,tridecanal,tridecanal
25915,0,0,0,0,0,1,0,0,0,0,0,0,1,0,25915,122.17,CCC1=NC=C(N=C1)C,2-ethyl-5-methylpyrazine,2-ethyl-5-methylpyrazine
26331,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26331,108.14,CCC1=NC=CN=C1,2-ethylpyrazine,2-ethylpyrazine
26396,0,0,0,0,1,0,0,0,0,0,0,0,0,0,26396,170.25,CC1(C(CCC(O1)(C)C=C)O)C,"6-ethenyl-2,2,6-trimethyloxan-3-ol",14049-11-7
26447,0,0,0,0,0,0,1,0,0,0,0,0,0,0,26447,154.25,C[C@@H]1CC[C@H](C(=O)C1)C(C)C,"(2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-one",(-)-menthone
26808,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26808,122.17,CC1=CN=C(C(=N1)C)C,"2,3,5-trimethylpyrazine","2,3,5-trimethylpyrazine"
27208,0,0,0,0,0,0,0,1,0,0,0,0,1,0,27208,222.37,CC1=CCC(CC1)(C(C)CCC=C(C)C)O,4-methyl-1-(6-methylhept-5-en-2-yl)cyclohex-3-en-1-ol,beta-bisabolol
28237,0,0,0,0,0,0,0,1,0,0,0,0,0,0,28237,204.35,CC(=C)[C@H]1CC[C@@]2(CCCC(=C)[C@H]2C1)C,"(3S,4aR,8aS)-8a-methyl-5-methylidene-3-prop-1-en-2-yl-1,2,3,4,4a,6,7,8-octahydronaphthalene",(-)-beta-selinene
29096,0,1,0,0,0,0,0,0,0,0,0,0,0,0,29096,156.26,CC(CCCC(C)(C)O)C=C,"2,6-dimethyloct-7-en-2-ol",dihydromyrcenol
29251,0,0,0,0,0,1,0,0,0,0,0,0,0,0,29251,240.42,CCCCCCCCCCCCCCC(=O)C,hexadecan-2-one,2-hexadecanone
